city,country,latitude,longitude,temperature,humidity,cloudiness,wind_speed
brunsbuttel,de,54,9,5.19,93.0,0.0,1.53
artigas,uy,-31,-57,20.34,92.0,0.0,3.03
la florida,hn,14,-88,26.0,74.0,40.0,2.6
inta,ru,66,60,-10.77,78.0,36.0,1.33
archidona,ec,-1,-77,15.59,100.0,92.0,0.58
zlotoryja,pl,51,16,7.0,87.0,0.0,0.5
zhanaozen,kz,43,55,7.54,91.0,56.0,1.43
crestview,us,31,-87,20.7,77.0,75.0,1.5
terra roxa,br,-24,-50,16.0,72.0,0.0,1.5
ginir,et,6,41,13.49,85.0,20.0,1.18
agustin codazzi,co,10,-73,28.0,69.0,40.0,6.2
shakawe,bw,-18,23,16.79,52.0,0.0,2.58
bonnyville,ca,56,-111,6.0,100.0,90.0,5.7
vigrestad,no,57,5,3.0,100.0,20.0,1.0
kaunas,lt,55,24,5.0,86.0,0.0,3.1
kant,kg,43,75,2.69,68.0,0.0,1.33
kangasala,fi,62,24,3.46,80.0,90.0,2.1
shanghai,cn,31,122,25.95,65.0,0.0,5.0
bodmin,gb,51,-5,7.0,100.0,8.0,1.0
gistrup,dk,57,10,5.89,90.0,0.0,5.18
araouane,ml,19,-6,19.69,26.0,0.0,1.33
kaili,cn,27,108,27.59,76.0,44.0,1.38
wilmington,us,33,-77,9.78,43.0,1.0,3.1
lujiang,cn,31,117,21.0,100.0,20.0,2.0
selaphum,th,16,104,28.0,74.0,0.0,2.6
saint pete beach,us,26,-86,23.62,78.0,90.0,6.7
ha giang,vn,23,105,22.44,93.0,80.0,0.88
guerrero negro,mx,15,-131,19.44,58.0,64.0,2.68
sajanan,tn,38,9,13.53,100.0,20.0,0.5
nizhniy odes,ru,64,55,-7.37,68.0,8.0,1.63
junin,ar,-35,-61,12.0,58.0,0.0,3.6
hanzhong,cn,33,108,20.69,72.0,88.0,1.63
petlawad,in,23,75,28.44,22.0,0.0,2.08
mahenge,tz,-9,37,19.74,99.0,56.0,1.13
sira,in,14,77,27.04,70.0,0.0,3.18
fevik,no,58,9,1.0,92.0,12.0,3.1
imphal,in,25,94,25.44,74.0,8.0,1.23
kortkeros,ru,62,52,-5.0,62.0,0.0,7.0
la rosa,hn,15,-87,13.59,94.0,0.0,4.38
felipe carrillo puerto,mx,20,-88,26.59,70.0,32.0,2.73
patan,in,24,72,19.0,59.0,20.0,1.18
grand-santi,gf,2,-55,21.69,100.0,88.0,1.03
otjimbingwe,na,-23,16,10.34,88.0,0.0,1.23
okato,nz,-39,172,16.99,95.0,0.0,3.08
slantsy,ru,59,28,3.49,99.0,88.0,1.53
havelock,us,32,-73,12.57,71.0,1.0,4.48
ceuta,es,36,-5,23.59,57.0,48.0,1.28
bouca,cf,6,18,24.54,74.0,92.0,3.13
nome,us,69,-167,21.0,88.0,90.0,5.7
san narciso,ph,15,120,30.0,70.0,75.0,3.6
boke,gn,11,-14,23.69,85.0,0.0,2.53
warmbad,na,-29,19,10.19,100.0,0.0,1.5
soligalich,ru,59,42,-1.47,85.0,88.0,12.03
phuntsholing,bt,27,89,18.09,77.0,8.0,0.73
druskininkai,lt,54,24,5.24,75.0,0.0,4.93
muscat,om,24,59,23.0,38.0,0.0,2.1
funadhoo,mv,6,73,30.04,97.0,24.0,2.23
ushtobe,kz,46,77,17.59,29.0,0.0,2.08
agadir,ma,31,-10,11.0,87.0,0.0,2.6
severodvinsk,ru,66,39,-7.0,73.0,20.0,4.0
bunia,cd,2,30,17.29,97.0,48.0,0.88
yeniseysk,ru,59,92,10.29,80.0,64.0,3.88
ondjiva,ao,-17,16,14.74,62.0,0.0,1.63
singapore,sg,1,104,29.74,74.0,75.0,3.1
vershino-darasunskiy,ru,53,116,14.04,53.0,0.0,2.08
alekseyevskaya,ru,50,42,7.94,65.0,12.0,7.18
auchi,ng,7,6,23.54,96.0,36.0,2.48
devrek,tr,41,32,4.69,96.0,0.0,1.78
balakovo,ru,52,48,8.84,75.0,80.0,8.88
malumfashi,ng,12,8,25.79,62.0,0.0,4.93
mwinilunga,zm,-12,23,13.79,77.0,0.0,1.33
kupino,ru,54,77,9.49,77.0,92.0,9.08
gat,ly,23,11,18.09,83.0,0.0,4.38
amherst,ca,46,-64,1.0,64.0,40.0,2.6
nampula,mz,-15,39,19.29,87.0,0.0,2.63
batemans bay,au,-38,151,18.99,86.0,56.0,1.98
port macquarie,au,-32,155,23.0,60.0,75.0,4.6
masuguru,tz,-12,38,24.14,80.0,20.0,1.83
poso,id,0,121,26.59,100.0,48.0,1.68
kichmengskiy gorodok,ru,60,46,-1.22,76.0,92.0,8.18
port alfred,za,-79,52,18.24,98.0,0.0,5.23
caticlan,ph,12,122,28.39,97.0,20.0,6.43
stepnogorsk,kz,52,72,11.04,90.0,92.0,5.48
turiacu,br,-1,-45,24.59,93.0,12.0,1.18
pinar del rio,cu,23,-84,22.54,89.0,0.0,1.23
suceveni,ro,46,28,14.04,62.0,0.0,0.5
cataingan,ph,12,124,28.59,99.0,12.0,2.18
wrexham,gb,53,-3,15.71,82.0,0.0,5.1
puerto madryn,ar,-43,-63,18.29,69.0,0.0,6.78
mestia,ge,43,43,-8.37,98.0,48.0,0.53
terrace,ca,58,-129,6.0,75.0,75.0,8.2
concepcion del uruguay,ar,-32,-59,17.24,93.0,0.0,1.23
manadhoo,mv,6,74,30.04,97.0,24.0,2.23
goma,cd,-1,28,15.44,100.0,92.0,0.78
punta arenas,cl,-84,-98,4.0,100.0,0.0,9.8
novobureyskiy,ru,50,130,10.84,40.0,0.0,3.18
bada,ru,51,110,26.19,64.0,20.0,4.58
caiaponia,br,-17,-52,21.09,62.0,12.0,3.93
cave spring,us,37,-80,11.69,35.0,1.0,1.98
erdenet,mn,49,104,6.64,86.0,12.0,1.63
victor harbor,au,-39,137,24.0,53.0,0.0,3.1
yanam,in,15,84,31.09,74.0,0.0,1.28
bundaberg,au,-21,155,23.84,100.0,36.0,7.08
manono,cd,-8,27,19.84,96.0,8.0,1.23
la romana,do,18,-69,24.72,100.0,40.0,2.38
hangu,cn,39,118,17.0,59.0,5.0,2.1
pyaozerskiy,ru,66,31,-10.57,71.0,0.0,1.03
hailey,us,44,-115,16.0,26.0,5.0,3.1
nefteyugansk,ru,60,73,-6.0,62.0,40.0,1.0
tshela,cd,-5,13,22.04,98.0,80.0,1.23
mount isa,au,-24,138,32.0,24.0,0.0,5.7
fukuma,jp,35,130,17.84,60.0,75.0,2.6
yauya,pe,-9,-77,7.29,86.0,48.0,0.93
honiara,sb,-12,159,30.0,79.0,40.0,7.2
telde,es,28,-15,18.0,63.0,20.0,2.6
deming,us,32,-108,18.41,15.0,1.0,2.6
serebryansk,kz,49,83,15.0,30.0,0.0,5.0
xichang,cn,28,101,21.49,37.0,0.0,0.88
malangali,tz,-8,35,14.54,88.0,0.0,3.33
santo antonio do sudoeste,br,-26,-54,21.49,81.0,0.0,1.73
itaunja,in,27,81,26.0,34.0,0.0,2.6
frutal,br,-20,-49,17.74,65.0,0.0,2.88
bima,id,-7,119,29.79,78.0,80.0,1.88
port-cartier,ca,56,-70,2.0,34.0,40.0,3.1
mandsaur,in,24,75,27.69,20.0,0.0,3.78
ustyuzhna,ru,59,36,-1.52,76.0,88.0,7.33
pleszew,pl,52,18,6.94,72.0,0.0,2.03
haukipudas,fi,65,25,0.0,91.0,76.0,2.6
ko samui,th,10,101,31.0,66.0,20.0,3.1
krasnyy kholm,ru,58,37,-1.52,84.0,88.0,9.98
gordeyevka,ru,53,32,6.44,65.0,0.0,7.68
det udom,th,15,105,28.0,78.0,20.0,1.5
pavlodar,kz,53,77,10.0,76.0,90.0,4.0
kirkwood,za,-33,25,14.0,58.0,0.0,4.6
liwale,tz,-10,37,19.54,92.0,24.0,0.98
cambrai,fr,50,3,13.02,93.0,0.0,1.5
port antonio,jm,19,-76,28.0,74.0,20.0,3.6
capreol,ca,47,-81,6.0,35.0,5.0,2.6
hoyanger,no,61,6,6.0,93.0,80.0,3.6
do gonbadan,ir,30,51,21.0,22.0,20.0,4.1
urucui,br,-8,-45,26.79,65.0,0.0,3.33
rundu,na,-18,19,14.09,61.0,0.0,1.23
macau,br,-3,-36,23.44,89.0,8.0,3.13
amilly,fr,48,3,15.09,79.0,0.0,1.28
port hedland,au,-20,120,36.0,22.0,12.0,3.6
buloh kasap,my,3,103,28.0,83.0,75.0,3.1
edea,cm,4,10,24.0,100.0,75.0,1.58
tieli,cn,47,128,12.24,69.0,0.0,1.78
fairfield,us,41,-92,22.17,60.0,1.0,4.6
bang lamung,th,13,101,30.0,70.0,20.0,4.1
olden,no,64,10,-0.52,100.0,88.0,0.68
yeppoon,au,-20,154,28.0,48.0,75.0,3.6
zhirnovsk,ru,51,45,9.19,90.0,92.0,9.38
mmabatho,za,-26,25,10.0,76.0,0.0,1.0
gabu,gw,12,-14,8.49,84.0,88.0,1.73
zhicheng,cn,30,111,15.79,100.0,100.0,2.08
pangai,to,-19,-175,26.09,100.0,44.0,2.23
balad,iq,34,44,29.49,100.0,12.0,2.08
san lazaro,py,-22,-58,27.0,83.0,75.0,3.6
kohlu,pk,30,69,15.14,22.0,0.0,2.08
spirit river,ca,56,-119,5.0,56.0,75.0,10.8
chabahar,ir,25,61,24.79,100.0,0.0,2.48
rexburg,us,44,-112,15.6,29.0,1.0,4.1
perevolotskiy,ru,52,54,0.79,67.0,0.0,4.68
peresichna,ua,50,36,11.0,40.0,0.0,6.0
dikson,ru,88,68,-10.72,100.0,76.0,8.08
black forest,us,39,-104,24.0,53.0,0.0,3.1
mtwara,tz,-9,41,23.0,100.0,20.0,6.2
guryevsk,ru,54,86,12.39,49.0,0.0,4.08
shuya,ru,62,34,0.84,99.0,88.0,12.33
luau,ao,-10,22,16.44,69.0,0.0,1.68
te anau,nz,-44,158,10.24,78.0,0.0,1.53
cidreira,br,-37,-44,21.44,91.0,12.0,2.88
kautokeino,no,68,24,-1.42,95.0,92.0,1.78
ugoofaaru,mv,6,66,29.69,99.0,76.0,2.58
shestakovo,ru,56,104,10.44,54.0,8.0,2.93
terney,ru,45,137,6.84,74.0,20.0,1.53
cua,ve,10,-67,25.0,88.0,20.0,1.0
wageningen,sr,5,-57,12.04,71.0,20.0,2.1
phalombe,mw,-16,36,15.59,96.0,36.0,1.23
baykalsk,ru,51,104,4.84,76.0,0.0,0.88
bluff,nz,-56,164,25.49,68.0,0.0,4.68
varkkallai,in,8,76,28.0,94.0,20.0,2.1
tarakan,id,2,120,28.99,93.0,36.0,1.63
savelugu,gh,10,-1,27.34,64.0,68.0,3.58
mendi,et,10,35,15.09,84.0,0.0,1.28
poplar bluff,us,37,-91,19.35,28.0,1.0,3.6
don sak,th,9,100,29.07,66.0,20.0,3.1
arcachon,fr,45,-2,16.06,93.0,0.0,1.5
atbasar,kz,50,69,9.49,100.0,92.0,3.58
sikasso,ml,11,-6,23.29,84.0,8.0,1.98
aurora,br,-7,-39,8.0,42.0,1.0,3.1
kashary,ru,49,41,11.19,92.0,88.0,5.38
streator,us,41,-89,10.01,46.0,40.0,3.1
sakti,in,22,83,33.19,29.0,0.0,3.58
tanhacu,br,-14,-41,20.14,78.0,64.0,2.78
ponte de sor,pt,39,-8,12.54,95.0,24.0,2.13
caxambu,br,-22,-45,12.94,95.0,88.0,1.08
severomuysk,ru,56,114,2.69,79.0,24.0,1.18
sakata,jp,39,139,21.0,43.0,0.0,2.1
musenita,ro,48,26,15.51,51.0,0.0,4.0
nykoping,se,59,17,5.45,61.0,0.0,2.1
alyangula,au,-14,140,31.94,80.0,0.0,8.68
kaihua,cn,24,105,22.79,84.0,88.0,1.88
natitingou,bj,11,1,23.59,88.0,24.0,1.78
rockport,us,28,-97,24.0,88.0,90.0,4.6
karratha,au,-18,116,34.84,26.0,8.0,2.58
tabou,ci,2,-6,26.94,100.0,36.0,3.68
funtua,ng,11,7,24.94,70.0,24.0,4.48
san policarpo,ph,14,131,27.39,100.0,88.0,3.38
bechem,gh,7,-2,23.09,93.0,8.0,3.43
velingara,sn,13,-14,20.29,53.0,0.0,4.28
belle glade,us,27,-81,23.68,88.0,75.0,7.2
maple creek,ca,50,-109,8.59,33.0,20.0,9.68
kathmandu,np,32,87,19.0,59.0,20.0,1.18
itarema,br,1,-38,24.64,94.0,44.0,2.58
ous,ru,61,61,-4.82,57.0,8.0,1.58
sita road,pk,27,68,23.59,17.0,0.0,4.33
balvi,lv,57,27,5.74,65.0,0.0,8.33
guajara,br,-3,-58,24.0,94.0,40.0,1.0
williams lake,ca,52,-122,6.0,33.0,40.0,7.2
kissidougou,gn,9,-10,22.99,95.0,68.0,3.53
stellenbosch,za,-34,19,12.0,93.0,0.0,3.1
santa cruz cabralia,br,-17,-36,22.0,83.0,40.0,1.0
itoigawa,jp,37,138,15.94,78.0,0.0,1.33
zerbst,de,52,12,10.0,81.0,0.0,2.6
agua prieta,mx,31,-109,22.0,11.0,1.0,1.5
nkongsamba,cm,5,10,22.59,94.0,80.0,1.23
melilla,es,36,-3,26.0,83.0,40.0,2.1
chicla,pe,-12,-76,3.89,88.0,24.0,0.98
abidjan,ci,5,-4,27.0,83.0,20.0,2.1
sao borja,br,-29,-56,20.44,95.0,32.0,1.48
klamath falls,us,43,-122,16.0,25.0,1.0,8.2
cotoca,bo,-18,-63,23.0,100.0,20.0,1.5
huallanca,pe,-10,-77,3.49,86.0,32.0,1.18
warri,ng,5,5,22.69,95.0,12.0,1.33
eydhafushi,mv,5,70,29.69,99.0,76.0,2.58
boende,cd,-1,22,23.69,91.0,68.0,0.93
groton,us,41,-72,7.07,45.0,1.0,1.5
bijar,ir,36,48,4.79,90.0,24.0,2.43
gore,et,8,36,15.19,88.0,56.0,1.68
manitouwadge,ca,49,-86,-0.17,66.0,0.0,1.58
samara,ru,53,50,7.0,84.0,40.0,13.0
sri aman,my,1,112,29.0,74.0,75.0,0.5
ullapool,gb,59,-5,8.19,93.0,100.0,3.58
bertinoro,it,44,12,9.0,100.0,0.0,0.5
clemson,us,35,-83,14.01,47.0,75.0,2.23
dongobesh,tz,-4,35,13.94,98.0,80.0,1.23
hwange,zw,-19,27,21.59,46.0,20.0,4.98
koutiala,ml,12,-6,22.04,96.0,88.0,3.83
kodinsk,ru,61,99,9.69,61.0,76.0,4.08
bazarnyye mataki,ru,55,50,6.19,85.0,80.0,12.03
shagonar,ru,51,93,5.84,71.0,0.0,0.93
ferkessedougou,ci,10,-5,25.79,85.0,0.0,4.13
point pleasant,us,40,-74,10.13,37.0,1.0,3.98
ikom,ng,6,9,21.69,96.0,36.0,0.98
kudat,my,7,117,30.0,79.0,75.0,2.1
phalodi,in,28,72,25.04,22.0,0.0,3.58
amboasary,mg,-24,46,18.94,100.0,0.0,2.88
bouafle,ci,7,-6,14.45,76.0,0.0,2.1
lubben,de,52,14,6.36,93.0,0.0,1.5
tottori,jp,38,134,21.6,49.0,0.0,2.6
beatrice,us,40,-96,9.0,70.0,90.0,3.1
warren,us,42,-79,6.18,39.0,1.0,2.1
kozhva,ru,65,57,-13.22,73.0,0.0,1.18
spas,ua,49,24,11.0,40.0,0.0,2.0
zharkent,kz,44,80,8.34,54.0,0.0,1.63
paragominas,br,-4,-47,22.34,97.0,64.0,1.53
gouyave,gd,13,-63,26.0,83.0,40.0,5.1
chegutu,zw,-18,30,18.59,73.0,24.0,4.13
simbahan,ph,7,121,28.89,100.0,24.0,1.38
portel,br,-2,-51,14.0,100.0,40.0,2.1
iznoski,ru,55,35,4.69,65.0,36.0,9.43
valparaiso,cl,-32,-75,7.83,49.0,1.0,1.5
volchansk,ru,60,60,-5.22,50.0,64.0,2.28
chenghai,cn,23,118,26.0,61.0,75.0,2.0
liepaja,lv,57,20,1.81,93.0,0.0,3.18
epernay,fr,49,4,13.06,71.0,0.0,1.5
rockhampton,au,-23,150,28.0,48.0,75.0,3.6
selenduma,ru,51,106,10.69,74.0,0.0,1.83
acayucan,mx,18,-95,27.0,65.0,5.0,5.1
lamar,us,39,-102,7.0,75.0,90.0,1.63
novyy urgal,ru,51,132,6.94,44.0,0.0,5.38
palmares do sul,br,-32,-50,19.0,100.0,12.0,1.0
mzimba,mw,-12,34,17.14,91.0,56.0,1.88
bakel,sn,15,-12,24.09,39.0,0.0,3.53
portree,gb,57,-7,8.09,96.0,92.0,5.93
elliot,za,-31,28,1.29,70.0,0.0,1.03
kalabo,zm,-14,21,16.89,66.0,0.0,1.48
boras,se,58,13,2.92,100.0,90.0,2.1
nikologory,ru,56,42,2.59,100.0,92.0,9.48
channel-port aux basques,ca,48,-60,0.39,94.0,92.0,8.18
millville,us,39,-75,9.87,70.0,1.0,1.5
timizart,dz,38,5,9.34,89.0,0.0,0.83
gewane,et,10,41,19.19,95.0,0.0,1.33
valladolid,es,42,-5,11.34,96.0,68.0,1.63
ilulissat,gl,71,-52,-4.0,85.0,92.0,2.1
kostino,ru,59,53,6.0,93.0,0.0,2.6
mpongwe,zm,-14,28,16.34,74.0,0.0,2.88
san joaquin,bo,-18,-59,31.49,61.0,12.0,4.43
taiyuan,cn,38,112,11.0,81.0,75.0,4.0
lingyuan,cn,41,119,9.19,93.0,44.0,6.58
potosi,bo,-20,-66,-3.12,73.0,0.0,1.23
brasilia,br,-16,-48,27.0,69.0,40.0,8.2
hami,cn,45,91,17.84,34.0,88.0,2.18
otavi,na,-20,17,10.34,62.0,0.0,1.33
rosetown,ca,51,-108,8.09,73.0,100.0,10.88
ziarat,pk,31,68,6.84,31.0,0.0,0.88
wuda,cn,39,107,19.49,49.0,36.0,1.73
melo,uy,-32,-54,19.94,98.0,76.0,1.28
yichang,cn,31,111,23.04,93.0,88.0,1.58
puri,in,17,88,27.79,91.0,24.0,1.23
ketchikan,us,57,-131,7.32,75.0,75.0,7.2
camabatela,ao,-8,16,14.79,95.0,44.0,1.13
istanbul,tr,41,29,8.95,76.0,0.0,1.5
fuyang,cn,30,120,26.0,69.0,40.0,2.0
los llanos de aridane,es,29,-24,17.0,67.0,92.0,1.5
ylivieska,fi,64,24,-1.97,89.0,36.0,2.08
general pico,ar,-36,-64,20.09,92.0,8.0,4.88
inuvik,ca,67,-133,-18.37,50.0,5.0,3.1
libourne,fr,45,0,14.35,72.0,0.0,1.5
mapiripan,co,3,-71,21.49,100.0,76.0,1.23
kerouane,gn,9,-9,20.84,64.0,8.0,1.13
bosconia,co,10,-74,24.34,74.0,80.0,0.78
mitrofanovka,ru,50,40,11.09,85.0,92.0,8.88
igrim,ru,64,64,-8.32,65.0,12.0,1.73
nadvoitsy,ru,64,34,-4.87,76.0,24.0,2.58
palazzolo acreide,it,37,15,12.28,93.0,0.0,2.1
boundiali,ci,10,-7,24.99,76.0,0.0,3.78
north auburn,us,39,-121,11.72,50.0,75.0,3.6
anuradhapura,lk,8,80,28.59,85.0,12.0,2.43
unity,ca,53,-109,5.99,82.0,92.0,11.08
bataipora,br,-22,-53,20.29,80.0,8.0,1.28
loandjili,cg,-5,12,26.0,88.0,20.0,1.0
aykhal,ru,67,109,2.09,90.0,88.0,5.48
erzincan,tr,40,39,1.0,69.0,0.0,1.0
nicolas bravo,mx,19,-89,25.0,14.0,40.0,3.1
hohhot,cn,42,111,16.0,63.0,75.0,5.0
sonepur,in,21,84,27.0,47.0,0.0,1.88
tigre,pa,12,-78,21.65,78.0,75.0,1.5
vysokogornyy,ru,50,139,4.19,50.0,36.0,2.08
sembakung,id,3,116,29.69,79.0,24.0,1.33
shelburne,ca,41,-64,3.5,74.0,1.0,1.93
puchezh,ru,57,43,2.39,97.0,92.0,4.58
